Cell ID,SV ID,x,y,z,type,subtypes,outputs,inputs,Links
648518346439010972,73539941870724508,31440,54240,144,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2231440%22%2C%20%2254240%22%2C%20%22144%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346439010972%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346447880508,75226798866163813,43568,39312,150,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2243568%22%2C%20%2239312%22%2C%20%22150%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346447880508%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346450503598,75930348868987954,49072,38768,152,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2249072%22%2C%20%2238768%22%2C%20%22152%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346450503598%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346450505390,76282398748329608,51536,39952,156,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2251536%22%2C%20%2239952%22%2C%20%22156%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346450505390%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346437067786,75578230270219832,46112,36544,162,pyramidal cell,sparsely thorny,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2246112%22%2C%20%2236544%22%2C%20%22162%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346437067786%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346441150036,75506968172880114,45760,29856,166,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2245760%22%2C%20%2229856%22%2C%20%22166%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346441150036%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346442523696,75437630220842688,45120,37664,167,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2245120%22%2C%20%2237664%22%2C%20%22167%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346442523696%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346444846338,75719311356008273,47424,39056,169,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2247424%22%2C%20%2239056%22%2C%20%22169%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346444846338%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346448990788,75015486475274685,42512,38112,175,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2242512%22%2C%20%2238112%22%2C%20%22175%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346448990788%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
648518346443848460,73610035737069100,32096,52192,179,pyramidal cell,,,,https://spelunker.cave-explorer.org/#!%7B%22dimensions%22%3A%20%7B%22x%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22y%22%3A%20%5B1.8e-08%2C%20%22m%22%5D%2C%20%22z%22%3A%20%5B4.5e-08%2C%20%22m%22%5D%7D%2C%20%22position%22%3A%20%5B%2232096%22%2C%20%2252192%22%2C%20%22179%22%5D%2C%20%22crossSectionScale%22%3A%200.577333773106194%2C%20%22projectionOrientation%22%3A%20%5B0.71%2C%20-0.7%2C%200.02%2C%200.03%5D%2C%20%22projectionScale%22%3A%2039478.0%2C%20%22layers%22%3A%20%5B%7B%22type%22%3A%20%22image%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/img_aligned_sharded_18nm%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22name%22%3A%20%22EM%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%7B%22url%22%3A%20%22gs%3A//zheng_mouse_hippocampus_production/v2/seg_m195/%7Cneuroglancer-precomputed%3A%22%2C%20%22subsources%22%3A%20%7B%22default%22%3A%20true%2C%20%22bounds%22%3A%20true%2C%20%22mesh%22%3A%20true%7D%2C%20%22enableDefaultSubsources%22%3A%20false%7D%2C%20%22tab%22%3A%20%22source%22%2C%20%22selectedAlpha%22%3A%200.53%2C%20%22segments%22%3A%20%5B%22648518346443848460%22%5D%2C%20%22colorSeed%22%3A%203735724852%2C%20%22name%22%3A%20%22.%20pyramidal%20cell%22%7D%2C%20%7B%22type%22%3A%20%22segmentation%22%2C%20%22source%22%3A%20%22precomputed%3A//gs%3A//zheng_mouse_hippocampus_production/v2/nuclei/seg/20240730042146%22%2C%20%22tab%22%3A%20%22source%22%2C%20%22segments%22%3A%20%5B%5D%2C%20%22name%22%3A%20%22Nuclei%22%2C%20%22visible%22%3A%20false%7D%5D%2C%20%22showSlices%22%3A%20false%2C%20%22layout%22%3A%20%22xy-3d%22%7D
